
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009349                       # Number of seconds simulated (Second)
simTicks                                   9348672249                       # Number of ticks simulated (Tick)
finalTick                                  9348672249                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    217.66                       # Real time elapsed on the host (Second)
hostTickRate                                 42949992                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     749160                       # Number of bytes of host memory used (Byte)
simInsts                                     54404560                       # Number of instructions simulated (Count)
simOps                                       89387233                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   249947                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     410665                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        26024646                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       67228084                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1281                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      67089950                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1362                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              783385                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           771596                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                588                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           25855215                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.594832                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.554490                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  9574930     37.03%     37.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  1813608      7.01%     44.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2202888      8.52%     52.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  2922937     11.31%     63.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2296524      8.88%     72.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2657567     10.28%     83.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1964680      7.60%     90.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1536904      5.94%     96.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   885177      3.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             25855215                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  96674     63.39%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     63.39% # attempts to use FU when none available (Count)
