
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019000                       # Number of seconds simulated (Second)
simTicks                                  19000363599                       # Number of ticks simulated (Tick)
finalTick                                 19000363599                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    701.47                       # Real time elapsed on the host (Second)
hostTickRate                                 27086309                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     752144                       # Number of bytes of host memory used (Byte)
simInsts                                    218486170                       # Number of instructions simulated (Count)
simOps                                      347961072                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   311467                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     496042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        50687738                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      181175549                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  259999                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     177932707                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 14887                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             8908169                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15298761                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              96445                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           50496308                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.523678                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.551236                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8660999     17.15%     17.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4071552      8.06%     25.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5662948     11.21%     36.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  7660286     15.17%     51.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  8839755     17.51%     69.11% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3829272      7.58%     76.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3141367      6.22%     82.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2840213      5.62%     88.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  5789916     11.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             50496308                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 348851     53.34%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                   12      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     53.34% # attempts to use FU when none available (Count)
