
---------- Begin Simulation Statistics ----------
simSeconds                                   0.062394                       # Number of seconds simulated (Second)
simTicks                                  62393801064                       # Number of ticks simulated (Tick)
finalTick                                 62393801064                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1091.89                       # Real time elapsed on the host (Second)
hostTickRate                                 57142731                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     715808                       # Number of bytes of host memory used (Byte)
simInsts                                    430328309                       # Number of instructions simulated (Count)
simOps                                      430330095                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   394112                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     394113                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       167534643                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      258098810                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    5185                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     252910974                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 40709                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            11968799                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          9462959                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                892                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          167296497                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.511753                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.847162                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 72409761     43.28%     43.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 31439447     18.79%     62.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 21210163     12.68%     74.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 16139108      9.65%     84.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 12333303      7.37%     91.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  6393617      3.82%     95.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3621561      2.16%     97.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2393082      1.43%     99.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1356455      0.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            167296497                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 360135     11.48%     11.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                 43508      1.39%     12.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                  23498      0.75%     13.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 1131      0.04%     13.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.65% # attempts to use FU when none available (Count)
