
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007370                       # Number of seconds simulated (Second)
simTicks                                   7370171109                       # Number of ticks simulated (Tick)
finalTick                                  7370171109                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    105.63                       # Real time elapsed on the host (Second)
hostTickRate                                 69773428                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     706692                       # Number of bytes of host memory used (Byte)
simInsts                                     44350124                       # Number of instructions simulated (Count)
simOps                                       44350270                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   419861                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     419863                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        20498659                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       32025616                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   67274                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      32294488                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 14708                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              654723                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           394459                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                979                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           20400220                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.583046                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.192669                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 10870635     53.29%     53.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2113786     10.36%     63.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  1940507      9.51%     73.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1317849      6.46%     79.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1474091      7.23%     86.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   918809      4.50%     91.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   945019      4.63%     95.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   370574      1.82%     97.80% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   448950      2.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             20400220                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 105636     11.67%     11.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                    44      0.00%     11.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                     41      0.00%     11.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 1921      0.21%     11.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     11.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                38656      4.27%     16.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult               99679     11.01%     27.18% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc           193152     21.34%     48.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                11098      1.23%     49.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc               16902      1.87%     51.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     51.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     51.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     51.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     51.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     51.61% # attempts to use FU when none available (Count)
