
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014283                       # Number of seconds simulated (Second)
simTicks                                  14282589678                       # Number of ticks simulated (Tick)
finalTick                                 14282589678                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    396.83                       # Real time elapsed on the host (Second)
hostTickRate                                 35991273                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     701868                       # Number of bytes of host memory used (Byte)
simInsts                                    179396371                       # Number of instructions simulated (Count)
simOps                                      179461544                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   452068                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     452232                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        37981886                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       91298005                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  192378                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      90548056                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 22549                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             2597080                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1931706                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              14077                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           37842834                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.392740                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.035341                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  9009961     23.81%     23.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4971219     13.14%     36.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  7581650     20.03%     56.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5408741     14.29%     71.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  6053655     16.00%     87.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1613252      4.26%     91.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1553657      4.11%     95.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   621100      1.64%     97.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1029599      2.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             37842834                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  16044      0.12%      0.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                   937      0.01%      0.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                    413      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                  263      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                  203      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                   92      0.00%      0.14% # attempts to use FU when none available (Count)
